cpu_percent,process_count,ram_percent,scenario,source_tag,timestamp
100.0,349,54.0,cpu_stress,local_psutil,2026-04-02 02:30:21
100.0,349,54.1,cpu_stress,local_psutil,2026-04-02 02:30:22
100.0,347,54.1,cpu_stress,local_psutil,2026-04-02 02:30:23
100.0,347,54.1,cpu_stress,local_psutil,2026-04-02 02:30:24
100.0,347,54.1,cpu_stress,local_psutil,2026-04-02 02:30:25
100.0,349,54.1,cpu_stress,local_psutil,2026-04-02 02:30:26
100.0,349,54.1,cpu_stress,local_psutil,2026-04-02 02:30:27
99.7,350,54.2,cpu_stress,local_psutil,2026-04-02 02:30:28
100.0,348,54.2,cpu_stress,local_psutil,2026-04-02 02:30:29
100.0,348,54.2,cpu_stress,local_psutil,2026-04-02 02:30:30
100.0,351,54.3,cpu_stress,local_psutil,2026-04-02 02:30:31
100.0,351,54.3,cpu_stress,local_psutil,2026-04-02 02:30:32
100.0,351,54.4,cpu_stress,local_psutil,2026-04-02 02:30:33
100.0,349,54.4,cpu_stress,local_psutil,2026-04-02 02:30:34
99.9,349,54.4,cpu_stress,local_psutil,2026-04-02 02:30:35
100.0,351,54.4,cpu_stress,local_psutil,2026-04-02 02:30:36
100.0,350,54.4,cpu_stress,local_psutil,2026-04-02 02:30:37
100.0,349,54.5,cpu_stress,local_psutil,2026-04-02 02:30:38
99.9,349,54.5,cpu_stress,local_psutil,2026-04-02 02:30:39
100.0,349,54.4,cpu_stress,local_psutil,2026-04-02 02:30:40
99.9,353,54.4,cpu_stress,local_psutil,2026-04-02 02:30:41
100.0,351,54.4,cpu_stress,local_psutil,2026-04-02 02:30:42
100.0,349,54.5,cpu_stress,local_psutil,2026-04-02 02:30:43
100.0,349,54.5,cpu_stress,local_psutil,2026-04-02 02:30:44
100.0,349,54.3,cpu_stress,local_psutil,2026-04-02 02:30:45
100.0,353,54.3,cpu_stress,local_psutil,2026-04-02 02:30:46
100.0,351,54.4,cpu_stress,local_psutil,2026-04-02 02:30:47
100.0,349,54.4,cpu_stress,local_psutil,2026-04-02 02:30:48
99.8,348,54.4,cpu_stress,local_psutil,2026-04-02 02:30:49
100.0,348,54.5,cpu_stress,local_psutil,2026-04-02 02:30:50
99.8,350,54.5,cpu_stress,local_psutil,2026-04-02 02:30:51
100.0,350,54.5,cpu_stress,local_psutil,2026-04-02 02:30:52
100.0,348,54.5,cpu_stress,local_psutil,2026-04-02 02:30:53
99.8,348,54.4,cpu_stress,local_psutil,2026-04-02 02:30:54
100.0,348,54.4,cpu_stress,local_psutil,2026-04-02 02:30:55
99.8,350,54.4,cpu_stress,local_psutil,2026-04-02 02:30:56
100.0,349,54.5,cpu_stress,local_psutil,2026-04-02 02:30:57
99.9,348,54.6,cpu_stress,local_psutil,2026-04-02 02:30:58
100.0,348,54.8,cpu_stress,local_psutil,2026-04-02 02:30:59
100.0,350,54.8,cpu_stress,local_psutil,2026-04-02 02:31:00
99.9,350,54.9,cpu_stress,local_psutil,2026-04-02 02:31:01
100.0,349,54.8,cpu_stress,local_psutil,2026-04-02 02:31:02
100.0,348,54.8,cpu_stress,local_psutil,2026-04-02 02:31:03
100.0,348,54.9,cpu_stress,local_psutil,2026-04-02 02:31:04
100.0,350,54.9,cpu_stress,local_psutil,2026-04-02 02:31:05
100.0,351,54.9,cpu_stress,local_psutil,2026-04-02 02:31:06
100.0,350,54.9,cpu_stress,local_psutil,2026-04-02 02:31:07
100.0,348,55.1,cpu_stress,local_psutil,2026-04-02 02:31:08
100.0,348,55.1,cpu_stress,local_psutil,2026-04-02 02:31:09
100.0,348,55.2,cpu_stress,local_psutil,2026-04-02 02:31:10
100.0,350,55.2,cpu_stress,local_psutil,2026-04-02 02:31:11
99.9,350,55.1,cpu_stress,local_psutil,2026-04-02 02:31:12
99.4,348,55.2,cpu_stress,local_psutil,2026-04-02 02:31:13
100.0,348,55.4,cpu_stress,local_psutil,2026-04-02 02:31:14
99.8,350,55.4,cpu_stress,local_psutil,2026-04-02 02:31:15
100.0,350,55.5,cpu_stress,local_psutil,2026-04-02 02:31:16
100.0,348,55.6,cpu_stress,local_psutil,2026-04-02 02:31:17
100.0,348,55.6,cpu_stress,local_psutil,2026-04-02 02:31:18
99.7,348,55.5,cpu_stress,local_psutil,2026-04-02 02:31:19
100.0,350,55.6,cpu_stress,local_psutil,2026-04-02 02:31:20
99.6,350,55.8,cpu_stress,local_psutil,2026-04-02 02:31:21
100.0,350,55.8,cpu_stress,local_psutil,2026-04-02 02:31:22
100.0,348,55.9,cpu_stress,local_psutil,2026-04-02 02:31:23
100.0,348,55.9,cpu_stress,local_psutil,2026-04-02 02:31:24
100.0,350,55.9,cpu_stress,local_psutil,2026-04-02 02:31:25
99.8,350,55.6,cpu_stress,local_psutil,2026-04-02 02:31:26
98.4,348,55.6,cpu_stress,local_psutil,2026-04-02 02:31:27
100.0,348,55.6,cpu_stress,local_psutil,2026-04-02 02:31:28
99.8,348,55.6,cpu_stress,local_psutil,2026-04-02 02:31:29
99.7,350,56.0,cpu_stress,local_psutil,2026-04-02 02:31:30
99.5,350,56.0,cpu_stress,local_psutil,2026-04-02 02:31:31
100.0,350,56.0,cpu_stress,local_psutil,2026-04-02 02:31:32
99.8,349,56.3,cpu_stress,local_psutil,2026-04-02 02:31:33
100.0,349,56.3,cpu_stress,local_psutil,2026-04-02 02:31:34
99.3,351,56.2,cpu_stress,local_psutil,2026-04-02 02:31:35
100.0,351,56.3,cpu_stress,local_psutil,2026-04-02 02:31:36
100.0,349,56.2,cpu_stress,local_psutil,2026-04-02 02:31:37
100.0,349,56.2,cpu_stress,local_psutil,2026-04-02 02:31:38
99.3,349,56.4,cpu_stress,local_psutil,2026-04-02 02:31:39
100.0,351,56.3,cpu_stress,local_psutil,2026-04-02 02:31:40
100.0,351,56.1,cpu_stress,local_psutil,2026-04-02 02:31:41
100.0,346,55.4,cpu_stress,local_psutil,2026-04-02 02:31:42
100.0,346,55.3,cpu_stress,local_psutil,2026-04-02 02:31:43
99.9,346,55.3,cpu_stress,local_psutil,2026-04-02 02:31:44
100.0,348,55.4,cpu_stress,local_psutil,2026-04-02 02:31:45
100.0,348,55.5,cpu_stress,local_psutil,2026-04-02 02:31:46
100.0,346,55.5,cpu_stress,local_psutil,2026-04-02 02:31:47
100.0,346,55.6,cpu_stress,local_psutil,2026-04-02 02:31:48
100.0,346,55.5,cpu_stress,local_psutil,2026-04-02 02:31:49
99.8,348,55.6,cpu_stress,local_psutil,2026-04-02 02:31:50
99.9,348,55.7,cpu_stress,local_psutil,2026-04-02 02:31:51
100.0,346,55.6,cpu_stress,local_psutil,2026-04-02 02:31:52
98.8,346,55.6,cpu_stress,local_psutil,2026-04-02 02:31:53
99.8,346,55.7,cpu_stress,local_psutil,2026-04-02 02:31:54
100.0,348,55.7,cpu_stress,local_psutil,2026-04-02 02:31:55
99.7,348,55.7,cpu_stress,local_psutil,2026-04-02 02:31:56
100.0,346,55.6,cpu_stress,local_psutil,2026-04-02 02:31:57
100.0,346,55.3,cpu_stress,local_psutil,2026-04-02 02:31:58
99.9,346,55.3,cpu_stress,local_psutil,2026-04-02 02:31:59
100.0,346,55.3,cpu_stress,local_psutil,2026-04-02 02:32:00
99.9,348,55.3,cpu_stress,local_psutil,2026-04-02 02:32:01
100.0,346,55.3,cpu_stress,local_psutil,2026-04-02 02:32:02
100.0,346,55.3,cpu_stress,local_psutil,2026-04-02 02:32:03
100.0,346,55.3,cpu_stress,local_psutil,2026-04-02 02:32:04
100.0,347,55.4,cpu_stress,local_psutil,2026-04-02 02:32:05
